Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
1095.0,1068.0,27.0
1062.0,994.0,68.0
1016.0,981.0,35.0
1085.0,1036.0,49.0
1032.0,1044.0,12.0
1106.0,1019.0,87.0
1037.0,975.0,62.0
1100.0,1029.0,71.0
1052.0,1001.0,51.0
1104.0,1016.0,88.0
1009.0,972.0,37.0
1073.0,1005.0,68.0
1059.0,998.0,61.0
1036.0,972.0,64.0
1093.0,1031.0,62.0
1105.0,966.0,139.0
1095.0,1024.0,71.0
1066.0,966.0,100.0
1478.0,1416.0,62.0
7908.0,7210.0,698.0
7097.0,6458.0,639.0
1328.0,1208.0,120.0
1065.0,993.0,72.0
1043.0,919.0,124.0
1023.0,900.0,123.0
1035.0,1043.0,8.0
1072.0,938.0,134.0
1027.0,1006.0,21.0
1089.0,931.0,158.0
1057.0,958.0,99.0
1060.0,971.0,89.0
1077.0,963.0,114.0
1025.0,909.0,116.0
1012.0,951.0,61.0
1082.0,997.0,85.0
1064.0,968.0,96.0
1046.0,992.0,54.0
1091.0,982.0,109.0
1032.0,970.0,62.0
988.0,940.0,48.0
1018.0,960.0,58.0
1030.0,1020.0,10.0
1030.0,990.0,40.0
1095.0,1003.0,92.0
1055.0,994.0,61.0
1084.0,971.0,113.0
1014.0,977.0,37.0
1077.0,1070.0,7.0
1005.0,927.0,78.0
1083.0,975.0,108.0
